scenario_id,scenario_name,space,occasion,guests_supported,lead_collections,allowed_collections,role,allowed_product_types,preset_status,quantity_rule,flow_step,styling_message
fairytale-for-two,Сказка на двоих,bedroom|tea_corner,romantic_evening|gift|housewarming,2,Нити времени,Нити времени|Оренбургские узоры,soft_decor,decorative_pillow|throw,default,fixed,Добавьте мягкий слой,Подушки и плед для камерности
fairytale-for-two,Сказка на двоих,bedroom|tea_corner,romantic_evening|gift|housewarming,2,Тайна острова Буяна,Тайна острова Буяна|Нити времени,atmosphere,candle,optional,fixed,Добавьте свет,Тёплый вечерний ритуал
morning-mokoshi,Утро с Мокошью,kitchen,breakfast|tea,2|4,Мокоши,Мокоши|Камея,tea_service,tea_pair|coffee_pair|required,required,per_guest,Выберите число персон,Красный орнамент для бодрого утра
morning-mokoshi,Утро с Мокошью,kitchen,breakfast|tea,2|4,Мокоши,Мокоши,table_textile,napkin|placemat,default,per_guest,Добавьте текстиль,Локальный орнаментальный акцент
morning-mokoshi,Утро с Мокошью,kitchen,breakfast|tea,2|4,Камея,Камея,breakfast_base,dessert_plate|sugar_bowl|milk_jug,optional,per_guest_or_fixed,Дополните завтрак,Белая фарфоровая поддержка
winter-guests,Зимние гости,dining_room,tea|celebration|new_year,4|6|8,Дияф,Дияф|Камея|Овация,tea_service,tea_pair|teapot|required,required,per_guest_or_fixed,Выберите число гостей,Голубой и золотой праздничный стол
winter-guests,Зимние гости,dining_room,tea|celebration|new_year,4|6|8,Дияф,Дияф,table_textile,table_runner|napkin|tablecloth,default,per_guest_or_fixed,Добавьте текстиль,Собранный зимний рисунок
winter-guests,Зимние гости,dining_room,tea|celebration|new_year,4|6|8,Росы,Росы|Дияф,celebration_add_on,champagne_glass_set|serving_dish|candle_holder,optional,fixed,Дополните праздник,Свет и хрусталь для торжества
sunday-lunch,Семейный обед,dining_room,lunch|family,4|6|8|12,Камея|Овация,Камея|Овация,table_base,dinner_plate|required|deep_plate|salad_bowl,required,per_guest_or_fixed,Выберите число гостей,Спокойная база для семейного стола
sunday-lunch,Семейный обед,dining_room,lunch|family,4|6|8|12,Камея|Овация,Камея|Овация,serving,serving_dish|soup_tureen|salad_bowl,default,fixed,Добавьте блюда для подачи,Полная логика обеда
sunday-lunch,Семейный обед,dining_room,lunch|family,4|6|8|12,Камея|Овация,Мокоши|Обереги|Петербург,table_textile,napkin|table_runner|tablecloth,optional,per_guest_or_fixed,Выберите настроение,Акцент без перегрузки базы
petersburg-evening,Петербургский вечер,living_room|dining_room,dinner|tea|guests,2|4|6,Петербург,Петербург|Камея|Овация,tea_service,tea_pair|coffee_pair|required,required,per_guest,Выберите число персон,Городская графика для вечернего стола
petersburg-evening,Петербургский вечер,living_room|dining_room,dinner|tea|guests,2|4|6,Петербург,Петербург,table_textile,table_runner|napkin,default,per_guest_or_fixed,Добавьте текстиль,Зелёный ритм на белой основе
petersburg-evening,Петербургский вечер,living_room|dining_room,dinner|tea|guests,2|4|6,Петербург,Петербург|Росы,evening_add_on,teapot|milk_jug|wine_glass_set|candle,optional,fixed,Дополните вечер,Функция и атмосферный свет
summer-veranda,Летняя веранда,veranda|garden,tea|brunch|gift,2|4|6,Многоцвет,Многоцвет|Овация|Камея,tea_service,tea_pair|coffee_pair|required,required,per_guest,Выберите число персон,Цветочный стол для дневного света
summer-veranda,Летняя веранда,veranda|garden,tea|brunch|gift,2|4|6,Многоцвет,Многоцвет,table_textile,napkin|table_runner|placemat,default,per_guest_or_fixed,Добавьте текстиль,Лёгкий цветочный слой
summer-veranda,Летняя веранда,veranda|garden,tea|brunch|gift,2|4|6,Овация,Овация|Камея|Многоцвет,serving_add_on,dessert_plate|serving_dish|vase,optional,fixed,Дополните веранду,Белая база и цветы
homecoming,Новоселье,living_room|dining_room,housewarming|gift,2|4,Обереги,Обереги|Овация|Камея,tea_service,tea_pair|coffee_pair|required,required,per_guest,Выберите число персон,Тёплое первое чаепитие дома
homecoming,Новоселье,living_room|dining_room,housewarming|gift,2|4,Обереги,Обереги,table_textile,napkin|placemat,default,per_guest,Добавьте текстиль,Знак заботы и дома
homecoming,Новоселье,living_room|dining_room,housewarming|gift,2|4,Нити времени,Нити времени|Тайна острова Буяна|Обереги,gift_atmosphere,candle|decorative_pillow,optional,fixed,Добавьте подарок,Небольшой предмет для нового дома
candlelight-supper,Ужин при свечах,dining_room,dinner|romantic_evening,2|4,Росы,Росы|Камея|Овация,drinkware,wine_glass_set|champagne_glass_set|decanter|required,required,fixed,Выберите напитки,Хрустальный свет для камерного ужина
candlelight-supper,Ужин при свечах,dining_room,dinner|romantic_evening,2|4,Камея|Овация,Камея|Овация,table_base,dinner_plate|dessert_plate|serving_dish,default,per_guest_or_fixed,Добавьте фарфор,Белый фарфор не спорит со светом
candlelight-supper,Ужин при свечах,dining_room,dinner|romantic_evening,2|4,Росы,Росы|Дворцы России,atmosphere,candle|candle_holder|table_runner,default,fixed,Настройте свет,Свечи и текстильный центр стола
blue-botanical-bedroom,Голубой сад,bedroom,bedroom_refresh|gift,1|2,Голубые цветы,Голубые цветы|Обереги,bedding,bedding_set|required,required,variant_selection_required,Выберите размер белья,Цветочный голубой текстиль для спальни
blue-botanical-bedroom,Голубой сад,bedroom,bedroom_refresh|gift,1|2,Голубые цветы,Голубые цветы|Оренбургские узоры,soft_decor,decorative_pillow|pillowcase_set,default,fixed,Добавьте подушки,Поддержите голубой рисунок
blue-botanical-bedroom,Голубой сад,bedroom,bedroom_refresh|gift,1|2,Нити времени,Нити времени|Голубые цветы,atmosphere,candle,optional,fixed,Добавьте атмосферу,Вечерняя свеча у кровати
linen-retreat,Льняная пауза,bedroom|living_room,rest|reading|self_care,1|2,Оренбургские узоры,Оренбургские узоры|Обереги,soft_textile,throw|required,required,fixed,Выберите плед,Тактильная база для отдыха
linen-retreat,Льняная пауза,bedroom|living_room,rest|reading|self_care,1|2,Оренбургские узоры,Оренбургские узоры|Обереги|Голубые цветы,soft_decor,decorative_pillow,default,fixed,Добавьте подушки,Тихая текстильная композиция
linen-retreat,Льняная пауза,bedroom|living_room,rest|reading|self_care,1|2,Нити времени,Нити времени|Тайна острова Буяна,atmosphere,candle,optional,fixed,Добавьте аромат,Мягкий свет для чтения
tea-gift,Чайный подарок,tea_corner,gift|tea|housewarming,2,Многоцвет,Многоцвет|Камея|Овация,tea_service,tea_pair|coffee_pair|required,required,per_guest,Выберите пары,Готовая история для подарка
tea-gift,Чайный подарок,tea_corner,gift|tea|housewarming,2,Многоцвет,Многоцвет,table_textile,napkin|placemat,default,per_guest,Добавьте текстиль,Тактильный подарочный слой
tea-gift,Чайный подарок,tea_corner,gift|tea|housewarming,2,Камея|Овация,Камея|Овация|Многоцвет,gift_add_on,sugar_bowl|milk_jug|candle,optional,fixed,Дополните подарок,Завершите ритуал чаепития
